locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b1013,rutR,0,1074242,1074880,1,1507,0.0555555555555556,639,32,DNA-binding transcriptional dual regulator RutR
b1014,putA,0,1074920,1078882,-1,7976,0.0672834314550042,3963,240,fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA
b4737,ymdG,0,1079120,1079146,1,0,0,27,0,protein YmdG
b1015,putP,0,1079305,1080813,1,4259,0.105224429727741,1509,143,proline:Na(+) symporter
b4490,efeU,0,1081356,1082185,1,1124,0.0615796519410977,830,46,pseudogene
b1018,efeO,0,1082243,1083370,1,1515,0.0521653543307087,1128,53,ferrous iron transport system protein EfeO
b1019,efeB,0,1083376,1084647,1,1652,0.0480349344978166,1272,55,heme-containing peroxidase/deferrochelatase
b1020,phoH,0,1084992,1086056,1,1921,0.0792492179353493,1065,76,ATP-binding protein PhoH
b1021,pgaD,0,1086106,1086519,-1,1406,0.120643431635389,414,45,poly-N-acetyl-D-glucosamine synthase subunit PgaD
b1022,pgaC,0,1086521,1087846,-1,951,0.050251256281407,1326,60,poly-N-acetyl-D-glucosamine synthase subunit PgaC
b1023,pgaB,0,1087839,1089857,-1,1829,0.0511551155115512,2019,93,poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
b1024,pgaA,0,1089866,1092289,-1,3425,0.0802016498625115,2424,175,partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine outer membrane porin
b1025,dgcT,0,1092876,1094234,1,361,0.017156862745098,1359,21,putative diguanylate cyclase DgcT
b1026,insF4,0,1094275,1095141,-1,2398,0.254801536491677,867,199,IS3 element protein InsF
b1027,insE4,0,1095138,1095437,-1,464,0.207407407407407,300,56,IS3 element protein InsE
b1028,ymdE,0,1095544,1095846,1,400,0.0989010989010989,303,27,pseudogene
b1029,ycdU,0,1095843,1096829,1,481,0.0371203599550056,987,33,uncharacterized protein YcdU
b1032,serX,0,1097565,1097652,-1,85,0.05,88,4,
b1033,ghrA,0,1097886,1098824,1,919,0.0591016548463357,939,50,glyoxylate/hydroxypyruvate reductase A
b1034,ycdX,0,1098879,1099616,1,1683,0.0932330827067669,738,62,zinc-binding phosphatase YcdX
b1035,ycdY,0,1099640,1100194,1,1117,0.068,555,34,chaperone protein YcdY
b1036,ycdZ,0,1100296,1100787,1,850,0.0474040632054176,492,21,inner membrane protein YcdZ
b1037,csgG,0,1100851,1101684,-1,2535,0.118508655126498,834,89,curli secretion channel
b1038,csgF,0,1101711,1102127,-1,211,0.0611702127659574,417,23,curli assembly component CsgF
b1039,csgE,0,1102152,1102541,-1,117,0.0256410256410256,390,9,curli assembly component CsgE
b1040,csgD,0,1102546,1103196,-1,16,0.00511945392491468,651,3,DNA-binding transcriptional dual regulator CsgD
b1041,csgB,0,1103951,1104406,1,371,0.048661800486618,456,20,curlin, minor subunit
b1042,csgA,0,1104447,1104902,1,2460,0.167883211678832,456,69,curlin, major subunit
b1043,csgC,0,1104961,1105293,1,625,0.143333333333333,333,43,curlin chaperone
b1044,ymdA,0,1105414,1105725,1,1519,0.199288256227758,312,56,uncharacterized protein YmdA
b1045,ymdB,0,1105820,1106353,1,782,0.0706860706860707,534,34,2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
b1046,clsC,0,1106355,1107776,1,2572,0.08203125,1422,105,cardiolipin synthase C
b1047,opgC,0,1107784,1108941,-1,4642,0.149568552253116,1158,156,protein required for succinyl modification of osmoregulated periplasmic glucans
b1048,opgG,0,1109335,1110870,1,1703,0.0621836587129429,1536,86,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G
b1049,opgH,0,1110863,1113406,1,2094,0.0454148471615721,2544,104,osmoregulated periplasmic glucans (OPGs) biosynthesis protein H
b1050,yceK,0,1113579,1113806,1,391,0.0728155339805825,228,15,DUF1375 domain-containing lipoprotein YceK
b1051,msyB,0,1113807,1114181,-1,385,0.0562130177514793,375,19,acidic protein MsyB
b1053,mdtG,0,1114264,1115490,-1,1290,0.048868778280543,1227,54,efflux pump MdtG
b1054,lpxL,0,1115662,1116582,-1,12,0.00241254523522316,921,2,lauroyl acyltransferase
b1055,trhO,0,1116807,1117859,1,1757,0.0654008438818565,1053,62,tRNA U34 hydroxylase TrhO
b1056,yceI,0,1117901,1118476,-1,997,0.0789980732177264,576,41,protein YceI
b1057,yceJ,0,1118480,1119046,-1,1208,0.0821917808219178,567,42,putative cytochrome b561 YceJ
b1058,yceO,0,1119307,1119447,-1,4,0.0078740157480315,141,1,DUF2770 domain-containing protein YceO
b1059,solA,0,1119468,1120586,-1,2944,0.0942460317460317,1119,95,N-methyl-L-tryptophan oxidase
b1060,bssS,0,1120701,1120955,-1,421,0.121739130434783,255,28,regulator of biofilm formation
b1061,dinI,0,1121242,1121487,-1,1125,0.103603603603604,246,23,DNA damage-inducible protein I
b1062,pyrC,0,1121561,1122607,-1,696,0.0477200424178155,1047,45,dihydroorotase
b1063,yceB,0,1122713,1123273,-1,1402,0.102970297029703,561,52,putative lipid-binding lipoprotein YceB
b1064,grxB,0,1123407,1124054,-1,890,0.0616438356164384,648,36,reduced glutaredoxin 2
b1065,mdtH,0,1124118,1125326,-1,2478,0.086317722681359,1209,94,multidrug efflux pump MdtH
b1066,rimJ,0,1125562,1126146,1,2074,0.130929791271347,585,69,ribosomal-protein-S5-alanine N-acetyltransferase
b1067,yceH,0,1126157,1126804,1,941,0.0582191780821918,648,34,DUF480 domain-containing protein YceH
b1068,yceM,0,1126806,1127729,1,1137,0.0408653846153846,924,34,putative oxidoreductase YceM
b1069,murJ,0,1127839,1129374,1,0,0,1536,0,lipid II flippase MurJ
b1070,flgN,0,1129414,1129830,-1,722,0.074468085106383,417,28,flagellar biosynthesis protein FlgN
b1071,flgM,0,1129835,1130128,-1,387,0.0377358490566038,294,10,anti-sigma factor for FliA (sigma(28))
b1072,flgA,0,1130204,1130863,-1,1020,0.0723905723905724,660,43,flagellar basal body P-ring formation protein FlgA
b1073,flgB,0,1131018,1131434,1,715,0.0611702127659574,417,23,flagellar basal-body rod protein FlgB
b1074,flgC,0,1131438,1131842,1,412,0.0520547945205479,405,19,flagellar basal-body rod protein FlgC
b1075,flgD,0,1131854,1132549,1,1098,0.0542264752791069,696,34,flagellar biosynthesis, initiation of hook assembly
b1076,flgE,0,1132574,1133782,1,1546,0.0486685032139578,1209,53,flagellar hook protein FlgE
b1077,flgF,0,1133802,1134557,1,906,0.0293685756240822,756,20,flagellar basal-body rod protein FlgF
b1078,flgG,0,1134729,1135511,1,971,0.0468085106382979,783,33,flagellar basal-body rod protein FlgG
b1079,flgH,0,1135564,1136262,1,855,0.0428571428571429,699,27,flagellar L-ring protein
b1080,flgI,0,1136274,1137371,1,1382,0.0455005055611729,1098,45,flagellar P-ring protein
b1081,flgJ,0,1137371,1138312,1,1040,0.0436320754716981,942,37,putative peptidoglycan hydrolase FlgJ
b1082,flgK,0,1138378,1140021,1,2030,0.0533783783783784,1644,79,flagellar hook-filament junction protein 1
b1083,flgL,0,1140033,1140986,1,724,0.0337601862630966,954,29,flagellar hook-filament junction protein 2
b1084,rne,0,1141182,1144367,-1,1433,0.0219665271966527,3186,63,ribonuclease E
b1085,yceQ,0,1144502,1144822,1,231,0.055363321799308,321,16,DUF2655 domain-containing protein YceQ
b1086,rluC,0,1144940,1145899,1,2172,0.0729166666666667,960,63,23S rRNA pseudouridine(955/2504/2580) synthase
b1087,yceF,0,1146011,1146595,-1,2177,0.0872865275142315,585,46,m(7)GTP pyrophosphatase
b4418,sraB,0,1146589,1146757,1,222,0.0718954248366013,169,11,
b1088,yceD,0,1146794,1147315,1,386,0.0531914893617021,522,25,DUF177 domain-containing protein YceD
b1089,rpmF,0,1147367,1147540,1,53,0.0445859872611465,174,7,50S ribosomal subunit protein L32
b1090,plsX,0,1147621,1148691,1,2449,0.0663900414937759,1071,64,putative phosphate acyltransferase
b1091,fabH,0,1148759,1149712,1,0,0,954,0,3-oxoacyl-[acyl carrier protein] synthase 3
b1092,fabD,0,1149728,1150657,1,0,0,930,0,[acyl-carrier-protein] S-malonyltransferase
b1093,fabG,0,1150670,1151404,1,0,0,735,0,3-oxoacyl-[acyl-carrier-protein] reductase FabG
b1094,acpP,0,1151615,1151851,1,0,0,237,0,acyl carrier protein
b1095,fabF,0,1151939,1153180,1,1109,0.037567084078712,1242,42,3-oxoacyl-[acyl carrier protein] synthase 2
b1096,pabC,0,1153300,1154109,1,1016,0.0521262002743484,810,38,aminodeoxychorismate lyase
b1097,mltG,0,1154112,1155134,1,1392,0.0445168295331162,1023,41,endolytic murein transglycosylase
b1098,tmk,0,1155124,1155765,1,0,0,642,0,hypothetical protein
b1099,holB,0,1155762,1156766,1,0,0,1005,0,DNA polymerase III subunit delta'
b1100,ycfH,0,1156777,1157574,1,1264,0.062586926286509,798,45,putative metal-dependent hydrolase YcfH
b1101,ptsG,0,1157869,1159302,1,2814,0.0650658404337723,1434,84,glucose-specific PTS enzyme IIBC component
b1102,fhuE,0,1159362,1161551,-1,3175,0.0639269406392694,2190,126,ferric coprogen/ferric rhodotorulic acid outer membrane transporter
b1103,hinT,0,1161885,1162244,1,458,0.0524691358024691,360,17,purine nucleoside phosphoramidase
b1104,ycfL,0,1162247,1162624,1,360,0.032258064516129,378,11,DUF1425 domain-containing protein YcfL
b1105,lpoB,0,1162638,1163279,1,957,0.0605536332179931,642,35,outer membrane lipoprotein - activator of MrcB activity
b1106,thiK,0,1163260,1164084,1,1087,0.0403768506056528,825,30,thiamine kinase
b1107,nagZ,0,1164095,1165120,1,1183,0.0465367965367965,1026,43,beta-N-acetylhexosaminidase
b1108,ycfP,0,1165143,1165685,1,599,0.0449897750511247,543,22,UPF0227 protein YcfP
b1109,ndh,0,1166085,1167389,1,882,0.0348936170212766,1305,41,NADH:quinone oxidoreductase II
b1110,ycfJ,0,1167599,1168138,1,894,0.0637860082304527,540,31,PF05433 family protein YcfJ
b1111,comR,0,1168200,1168832,-1,400,0.0315789473684211,633,18,DNA-binding transcriptional repressor ComR
b1112,bhsA,0,1169073,1169330,1,59,0.00858369098712446,258,2,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
b1113,ldtC,0,1169412,1170374,-1,478,0.0242214532871972,963,21,L,D-transpeptidase LdtC
b1114,mfd,0,1170518,1173964,-1,3895,0.0399613277473413,3447,124,transcription-repair coupling factor
b1115,ycfT,0,1174092,1175165,-1,1129,0.0486039296794209,1074,47,inner membrane protein YcfT
b1116,lolC,0,1175427,1176626,1,4,0.000925925925925926,1200,1,lipoprotein release complex - inner membrane subunit
b1117,lolD,0,1176619,1177320,1,0,0,702,0,lipoprotein release complex - ATP binding subunit
b1118,lolE,0,1177320,1178564,1,0,0,1245,0,lipoprotein release complex - inner membrane subunit
b1119,nagK,0,1178593,1179504,1,686,0.0304506699147381,912,25,N-acetyl-D-glucosamine kinase
b1120,cobB,0,1179520,1180359,1,476,0.0277777777777778,840,21,protein-lysine deacetylase/desuccinylase/lipoamidase
b1120,cobB,0,1179631,1180359,1,496,0.0319634703196347,729,21,CobB-S
b1121,ycfZ,0,1180479,1181267,-1,94,0.0126582278481013,789,9,putative inner membrane protein
b1122,ymfA,0,1181264,1181725,-1,635,0.09375,462,39,putative inner membrane protein YmfA
b1123,potD,0,1181783,1182829,-1,897,0.0445387062566278,1047,42,spermidine preferential ABC transporter periplasmic binding protein
b1124,potC,0,1182826,1183620,-1,962,0.0516759776536313,795,37,spermidine preferential ABC transporter membrane subunit PotC
b1125,potB,0,1183617,1184444,-1,951,0.0522788203753351,828,39,spermidine preferential ABC transporter membrane subunit PotB
b1126,potA,0,1184458,1185594,-1,1216,0.0458984375,1137,47,spermidine preferential ABC transporter ATP binding subunit
b1127,pepT,0,1185844,1187070,1,1134,0.0380090497737557,1227,42,peptidase T
b1128,roxA,0,1187119,1188240,-1,1656,0.0485148514851485,1122,49,ribosomal protein-arginine oxygenase
b1129,phoQ,0,1188316,1189776,-1,1505,0.0486692015209125,1461,64,sensor histidine kinase PhoQ
b1130,phoP,0,1189776,1190447,-1,804,0.059504132231405,672,36,DNA-binding transcriptional dual regulator PhoP
b1131,purB,0,1190616,1191986,-1,31,0.00567260940032415,1371,7,adenylosuccinate lyase
b1132,hflD,0,1191990,1192631,-1,411,0.0328719723183391,642,19,lysogenization regulator
b1133,mnmA,0,1192667,1193773,-1,100,0.0200601805416249,1107,20,tRNA-specific 2-thiouridylase
b1134,nudJ,0,1193827,1194288,-1,224,0.0240384615384615,462,10,phosphatase NudJ
b1135,rluE,0,1194298,1194951,-1,1351,0.0577249575551783,654,34,23S rRNA pseudouridine(2457) synthase
b1136,icd,0,1195123,1196373,1,301,0.0355239786856128,1251,40,isocitrate dehydrogenase
b1137,ymfD,0,1196867,1197532,-1,5,0.00166666666666667,666,1,e14 prophage; putative SAM-dependent methyltransferase YmfD
b1138,ymfE,0,1197533,1198237,-1,87,0.0062992125984252,705,4,e14 prophage; uncharacterized protein YmfE
b1139,lit,0,1198695,1199588,1,62,0.00745341614906832,894,6,e14 prophage; cell death peptidase Lit
b1140,intE,0,1199679,1200806,-1,1871,0.0836614173228346,1128,85,e14 prophage; putative integrase
b1141,xisE,0,1200787,1201032,-1,166,0.0810810810810811,246,18,e14 prophage; putative excisionase
b1142,ymfH,0,1201069,1201380,-1,602,0.0854092526690391,312,24,e14 prophage; putative protein YmfH
b1143,ymfI,0,1201497,1201838,1,184,0.0292207792207792,342,9,e14 prophage; uncharacterized protein YmfI
b1144,ymfJ,0,1201776,1202084,-1,356,0.0573476702508961,309,16,e14 prophage; uncharacterized protein YmfJ
b1145,ymfK,0,1202259,1202933,-1,0,0,675,0,e14 prophage; putative repressor protein YmfK
b1146,ymfT,0,1203024,1203224,1,19,0.0110497237569061,201,2,e14 prophage; putative DNA-binding transcriptional regulator YmfT
b1147,ymfL,0,1203268,1203825,1,753,0.0516898608349901,558,26,e14 prophage; uncharacterized protein YmfL
b1148,ymfM,0,1203822,1204160,1,630,0.0686274509803922,339,21,e14 prophage; uncharacterized protein YmfM
b1149,ymfN,0,1204170,1205537,1,2037,0.049512987012987,1368,61,e14 prophage; chimeric replication protein/phage terminase YmfN
b1150,ymfR,0,1205549,1205731,1,181,0.0303030303030303,183,5,e14 prophage; IPR020297 domain-containing protein YmfR
b1151,beeE,0,1205731,1206204,1,598,0.053864168618267,474,23,e14 prophage; protein BeeE
b1152,jayE,0,1206131,1206922,1,1254,0.0575035063113604,792,41,pseudogene
b1153,ymfQ,0,1206913,1207497,1,1073,0.0645161290322581,585,34,e14 prophage; DUF2313 domain-containing protein YmfQ
b1154,ycfK,0,1207501,1208130,1,1657,0.0934744268077601,630,53,e14 prophage; protein StfP
b1155,tfaP,0,1208132,1208545,1,407,0.064343163538874,414,24,e14 prophage; putative tail fiber assembly protein TfaP
b1156,tfaE,0,1208517,1209119,-1,467,0.0662983425414365,603,36,e14 prophage; putative tail fiber assembly protein TfaE
b1157,stfE,0,1209119,1209655,-1,1726,0.113636363636364,537,55,pseudogene
b1158,pinE,0,1209685,1210239,1,1193,0.088,555,44,e14 prophage; site-specific DNA recombinase
b1159,mcrA,0,1210346,1211179,1,329,0.0346205059920107,834,26,e14 prophage; 5-methylcytosine-specific restriction enzyme McrA
b4519,icdC,0,1211413,1211577,1,35,0.0201342281879195,165,3,pseudogene
b1160,iraM,0,1211680,1212003,-1,55,0.00684931506849315,324,2,anti-adaptor protein IraM, inhibitor of sigma(S) proteolysis
b4738,ymgK,0,1212260,1212304,-1,0,0,45,0,protein YmgK
b4739,ymgL,0,1212540,1212650,-1,0,0,111,0,protein YmgL
b1161,ycgX,0,1212703,1213107,-1,390,0.0383561643835616,405,14,DUF1398 domain-containing protein YcgX
b1162,bluR,0,1213328,1214059,-1,1129,0.0895295902883156,732,59,DNA-binding transcriptional repressor BluR
b1163,bluF,0,1214264,1215475,-1,378,0.0229147571035747,1212,25,blue light- and temperature-regulated antirepressor BluF
b1164,ycgZ,0,1215789,1216025,1,183,0.0794392523364486,237,17,putative two-component system connector protein YcgZ
b1165,ymgA,0,1216068,1216340,1,37,0.0040650406504065,273,1,putative two-component system connector protein YmgA
b1166,ariR,0,1216369,1216635,1,66,0.00829875518672199,267,2,putative two-component system connector protein AriR
b1167,ymgC,0,1216748,1216996,1,41,0.0133333333333333,249,3,protein YmgC
b1168,pdeG,0,1217328,1218851,1,467,0.0247813411078717,1524,34,putative c-di-GMP phosphodiesterase PdeG
b4520,ymgF,0,1218983,1219201,1,125,0.0505050505050505,219,10,inner membrane protein YmgF
b4491,ycgH,0,1219601,1222248,1,1564,0.0423657718120805,2648,101,pseudogene
b1171,ymgD,0,1222305,1222634,-1,382,0.0707070707070707,330,21,PF16456 family protein YmgD
b1172,ymgG,0,1222644,1222988,-1,1120,0.131832797427653,345,41,PF13488 family protein YmgG
b4593,ymgI,0,1222990,1223163,-1,12,0.0127388535031847,174,2,uncharacterized protein YmgI
b4594,ymgJ,0,1223264,1223449,1,494,0.101190476190476,186,17,uncharacterized protein YmgJ
b4521,ycgI,0,1223564,1223907,1,684,0.106451612903226,344,33,pseudogene
b1174,minE,0,1224279,1224545,-1,34,0.00829875518672199,267,2,Z-ring positioning protein MinE
b1175,minD,0,1224549,1225361,-1,88,0.0259562841530055,813,19,Z-ring positioning protein MinD
b1176,minC,0,1225385,1226080,-1,27,0.00956937799043062,696,6,Z-ring positioning protein MinC
b1177,ycgJ,0,1226600,1226968,1,1013,0.0810810810810811,369,27,PF05666 family protein YcgJ
b1178,pliG,0,1227071,1227472,-1,1559,0.146408839779006,402,53,inhibitor of g-type lysozyme
b1179,ycgL,0,1227681,1228007,1,87,0.023728813559322,327,7,PF05166 family protein YcgL
b1180,ycgM,0,1228079,1228738,1,1199,0.063973063973064,660,38,putative isomerase/hydrolase
b1181,ycgN,0,1228815,1229276,1,1940,0.110576923076923,462,46,PF03693 family protein YcgN
b1182,hlyE,0,1229483,1230394,-1,32,0.0048721071863581,912,4,hemolysin E
b1183,umuD,0,1230767,1231186,1,368,0.0502645502645503,420,19,DNA polymerase V protein UmuD
b1184,umuC,0,1231186,1232454,1,1011,0.0402449693788276,1269,46,DNA polymerase V catalytic protein
b1185,dsbB,0,1232500,1233030,-1,586,0.0481171548117155,531,23,protein thiol:quinone oxidoreductase DsbB
b1186,nhaB,0,1233176,1234717,-1,2836,0.0634005763688761,1542,88,Na(+):H(+) antiporter NhaB
b1187,fadR,0,1234938,1235657,1,339,0.0401234567901235,720,26,DNA-binding transcriptional dual regulator FadR
b1188,ycgB,0,1235709,1237241,-1,2361,0.0644927536231884,1533,89,PF04293 family protein YcgB
b1189,dadA,0,1237571,1238869,1,1090,0.035042735042735,1299,41,D-amino acid dehydrogenase
b1190,dadX,0,1238879,1239949,1,1250,0.045643153526971,1071,44,alanine racemase 2
b4740,ymgM,0,1240260,1240463,1,162,0.0326086956521739,204,6,protein YmgM
b1191,cvrA,0,1240335,1242071,-1,2690,0.0741687979539642,1737,116,putative K(+):H(+) antiporter
b1192,ldcA,0,1242166,1243080,-1,1106,0.0570388349514563,915,47,murein L,D-carboxypeptidase
b1193,emtA,0,1243180,1243791,1,839,0.0526315789473684,612,29,lytic murein transglycosylase E
b1194,ycgR,0,1243793,1244527,-1,748,0.0498489425981873,735,33,flagellar brake protein YcgR
b1195,ymgE,0,1244728,1244982,1,472,0.0652173913043478,255,15,PF04226 family protein YmgE
b1196,ycgY,0,1245160,1245600,1,405,0.0403022670025189,441,16,uncharacterized protein YcgY
b1197,treA,0,1245679,1247376,-1,1335,0.0438194898626553,1698,67,periplasmic trehalase
b1198,dhaM,0,1247696,1249114,-1,2279,0.0649452269170579,1419,83,dihydroxyacetone kinase subunit M
b1199,dhaL,0,1249125,1249757,-1,503,0.0298245614035088,633,17,dihydroxyacetone kinase subunit L
b1200,dhaK,0,1249768,1250838,-1,1521,0.0736514522821577,1071,71,dihydroxyacetone kinase subunit K
b1201,dhaR,0,1251066,1252985,1,1348,0.0405092592592593,1920,70,DNA-binding transcriptional dual regulator DhaR
b1202,ycgV,0,1253085,1255952,-1,3077,0.0561580170410534,2868,145,putative autotransporter adhesin YcgV
b1203,ychF,0,1256721,1257812,-1,463,0.0427263479145473,1092,42,redox-responsive ATPase YchF
b1204,pth,0,1257929,1258513,-1,42,0.00189753320683112,585,1,peptidyl-tRNA hydrolase
b1205,ychH,0,1258791,1259069,1,505,0.0674603174603175,279,17,stress-induced protein
b1206,dauA,0,1259124,1260803,-1,2595,0.0529100529100529,1680,80,aerobic C4-dicarboxylate transporter DauA
b1207,prs,0,1260928,1261875,-1,0,0,948,0,ribose-phosphate diphosphokinase
b1208,ispE,0,1262026,1262877,-1,7,0.00130378096479791,852,1,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
b1209,lolB,0,1262877,1263500,-1,0,0,624,0,outer membrane lipoprotein LolB
b1210,hemA,0,1263714,1264970,1,0,0,1257,0,glutamyl-tRNA reductase
b1211,prfA,0,1265012,1266094,1,0,0,1083,0,peptide chain release factor RF1
b1212,prmC,0,1266094,1266927,1,1,0.00133155792276964,834,1,protein-(glutamine-N(5)) methyltransferase
b1213,ychQ,0,1266924,1267316,1,751,0.0819209039548023,393,29,SirB family protein YchQ
b1214,ychA,0,1267320,1268129,1,1639,0.0576131687242798,810,42,transglutaminase-like/TPR repeat-containing protein
b1215,kdsA,0,1268165,1269019,1,0,0,855,0,3-deoxy-D-manno-octulosonate 8-phosphate synthase
b4419,ldrA,0,1269168,1269275,-1,108,0.0714285714285714,108,7,small toxic polypeptide LdrA
b4420,rdlA,0,1269323,1269389,1,89,0.114754098360656,67,7,
b4421,ldrB,0,1269703,1269810,-1,121,0.0408163265306122,108,4,small toxic polypeptide LdrB
b4422,rdlB,0,1269858,1269923,1,28,0.05,66,3,
b4423,ldrC,0,1270238,1270345,-1,104,0.0612244897959184,108,6,small toxic polypeptide LdrC
b4424,rdlC,0,1270393,1270460,1,36,0.0645161290322581,68,4,
b1216,chaA,0,1270749,1271849,-1,3260,0.115035317860747,1101,114,Na(+)/K(+):H(+) antiporter ChaA
b1217,chaB,0,1272119,1272349,1,778,0.115384615384615,231,24,putative cation transport regulator ChaB
b1218,chaC,0,1272507,1273202,1,726,0.0462519936204147,696,29,glutathione-specific gamma-glutamylcyclotransferase
b1219,ychN,0,1273246,1273599,-1,554,0.0564263322884013,354,18,DsrE/F sulfur relay family protein YchN
b1220,ychO,0,1273784,1275178,1,1908,0.0613057324840764,1395,77,putative invasin YchO
b1221,narL,0,1275179,1275829,-1,1130,0.0750853242320819,651,44,DNA-binding transcriptional dual regulator NarL
b1222,narX,0,1275822,1277618,-1,1932,0.0426452410383189,1797,69,sensory histidine kinase NarX
b1223,narK,0,1277957,1279348,1,1940,0.063048683160415,1392,79,nitrate:nitrite antiporter NarK
b1224,narG,0,1279864,1283607,1,4216,0.0507418397626113,3744,171,nitrate reductase A subunit alpha
b1225,narH,0,1283604,1285142,1,1212,0.0360750360750361,1539,50,nitrate reductase A subunit beta
b1226,narJ,0,1285139,1285849,1,483,0.0171875,711,11,nitrate reductase 1 molybdenum cofactor assembly chaperone
b1227,narI,0,1285849,1286526,1,510,0.0376432078559738,678,23,nitrate reductase A subunit gamma
b1228,ychS,0,1286709,1286984,1,218,0.0562248995983936,276,14,putative uncharacterized protein YchS
b4425,rttR,0,1287066,1287236,-1,22,0.012987012987013,171,2,
b1229,tpr,0,1287087,1287176,-1,5,0.0123456790123457,90,1,protamine-like protein
b1230,tyrV,0,1287244,1287328,-1,28,0.038961038961039,85,3,
b1231,tyrT,0,1287538,1287622,-1,35,0.012987012987013,85,1,
b1232,purU,0,1287782,1288624,-1,1083,0.0592885375494071,843,45,formyltetrahydrofolate deformylase
b1233,ychJ,0,1288674,1289132,-1,1613,0.118357487922705,459,49,NTF2-like domain-containing protein YchJ
b1234,rssA,0,1289245,1290150,1,1355,0.0686274509803922,906,56,putative patatin-like phospholipase RssA
b1235,rssB,0,1290242,1291255,1,1674,0.0744797371303395,1014,68,regulator of RpoS
b1236,galU,0,1291457,1292365,1,1438,0.0952380952380952,909,78,UTP--glucose-1-phosphate uridylyltransferase
b1237,hns,0,1292509,1292922,-1,452,0.0697050938337802,414,26,DNA-binding transcriptional dual regulator H-NS
b1238,tdk,0,1293527,1294144,1,1526,0.149012567324955,618,83,thymidine/deoxyuridine kinase
b4573,insZ,0,1294426,1295322,-1,1462,0.051980198019802,897,42,pseudogene
b1241,adhE,0,1295446,1298121,-1,4213,0.0635118306351183,2676,153,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
b4771,ychT,0,1298514,1298567,1,0,0,54,0,protein YchT
b1242,ychE,0,1298598,1299245,1,2047,0.101027397260274,648,59,MarC family putative inner membrane protein YchE
b4711,insH21,0,1299567,1300547,1,1701,0.312570781426954,981,276,IS5 transposase and trans-activator
b1243,oppA,0,1301182,1302813,1,2193,0.0319945541184479,1632,47,oligopeptide ABC transporter periplasmic binding protein
b1244,oppB,0,1302899,1303819,1,2749,0.083232810615199,921,69,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB
b1245,oppC,0,1303834,1304742,1,1105,0.0341880341880342,909,28,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC
b1246,oppD,0,1304754,1305767,1,481,0.0175246440306681,1014,16,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD
b1247,oppF,0,1305764,1306768,1,809,0.0287292817679558,1005,26,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF
b1248,yciU,0,1306821,1307150,-1,301,0.037037037037037,330,11,DUF440 domain-containing protein YciU
b1249,clsA,0,1307185,1308645,-1,828,0.0273764258555133,1461,36,cardiolipin synthase A
b4595,yciY,0,1308788,1308961,1,522,0.0700636942675159,174,11,uncharacterized protein YciY
b1250,kch,0,1309016,1310269,-1,457,0.0336581045172719,1254,38,K(+) channel Kch
b1251,yciI,0,1310569,1310865,-1,339,0.0485074626865672,297,13,protein YciI
b1252,tonB,0,1311089,1311808,1,79,0.0185185185185185,720,12,Ton complex subunit TonB
b1253,yciA,0,1311848,1312246,-1,506,0.0444444444444444,399,16,acyl-CoA thioesterase YciA
b1254,yciB,0,1312351,1312890,-1,50,0.0102880658436214,540,5,inner membrane protein
b1255,yciC,0,1312920,1313663,-1,230,0.0388059701492537,744,26,putative inner membrane protein
b1256,ompW,0,1314020,1314658,1,2164,0.0833333333333333,639,48,outer membrane protein W
b1257,yciE,0,1314718,1315224,-1,27,0.00437636761487965,507,2,DUF892 domain-containing protein YciE
b1258,yciF,0,1315270,1315770,-1,88,0.00665188470066519,501,3,DUF892 domain-containing protein YciF
b1259,yciG,0,1315856,1316035,-1,0,0,180,0,stress-induced bacterial acidophilic repeat motifs-containing protein YciG
b1260,trpA,0,1316416,1317222,-1,932,0.0440165061898212,807,32,tryptophan synthase subunit alpha
b1261,trpB,0,1317222,1318415,-1,975,0.0362790697674419,1194,39,tryptophan synthase subunit beta
b1262,trpC,0,1318427,1319788,-1,939,0.0301794453507341,1362,37,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
b1263,trpD,0,1319789,1321384,-1,651,0.0132219902574809,1596,19,anthranilate synthase subunit TrpD
b1264,trpE,0,1321384,1322946,-1,1039,0.0305614783226724,1563,43,anthranilate synthase subunit TrpE
b1265,trpL,0,1323038,1323082,-1,6,0.024390243902439,45,1,trp operon leader peptide
b1266,yciV,0,1323220,1324101,1,1149,0.0453400503778338,882,36,RNA/ssDNA 5'->3' exonuclease
