seqid	start	end	strand	gene	locus_tag
CP000031.2	636093	636167	+		SPO_tRNA-Gln-2
CP000031.2	636307	637353	-		SPO0618
CP000031.2	637521	638717	+		SPO0619
CP000031.2	638751	639377	+		SPO0620
CP000031.2	639826	641367	+		SPO0621
CP000031.2	641832	642890	-		SPO0622
CP000031.2	642985	643533	-		SPO0623
CP000031.2	643540	644166	-		SPO0624
CP000031.2	648528	649043	-		SPO0628
CP000031.2	649155	649751	+		SPO0628a
CP000031.2	650051	650944	-		SPO0629
CP000031.2	652364	652888	-		SPO0631
CP000031.2	653026	654012	+		SPO0632
CP000031.2	654248	656041	+	ggt	SPO0633
CP000031.2	656145	657542	+		SPO0634
CP000031.2	657753	660260	+		SPO0635
CP000031.2	660313	660849	-		SPO0636
CP000031.2	660903	661019	-		SPO0637
CP000031.2	661052	661669	-		SPO0638
CP000031.2	661738	662595	+		SPO0639
CP000031.2	662592	662927	-		SPO0640
CP000031.2	662996	663646	-		SPO0641
CP000031.2	663643	664713	-		SPO0642
CP000031.2	664710	665648	-		SPO0643
CP000031.2	665776	666201	+		SPO0644
CP000031.2	666205	667443	+		SPO0645
CP000031.2	667489	667896	-		SPO0646
CP000031.2	667893	668198	-		SPO0647
CP000031.2	668374	669447	-		SPO0648
CP000031.2	669501	670421	-		SPO0649
CP000031.2	670425	671507	-		SPO0650
CP000031.2	671562	673079	-		SPO0651
CP000031.2	673076	674044	-	xdhC	SPO0652
CP000031.2	674034	676364	-	xdhB	SPO0653
CP000031.2	676361	677746	-	xdhA	SPO0654
CP000031.2	678062	678826	-		SPO0655
CP000031.2	678962	682525	+	dnaE	SPO0656
CP000031.2	682532	683428	-	naaT	SPO0657
CP000031.2	683428	685071	-	naaS	SPO0658
CP000031.2	685170	686102	+	naaR	SPO0659
CP000031.2	686222	687796	+	naaA	SPO0660
CP000031.2	687864	688841	+	naaB	SPO0661
CP000031.2	688838	689725	+	naaB'	SPO0662
CP000031.2	689662	690714	+	naaC	SPO0663
CP000031.2	690715	691713	+	naaC'	SPO0664
CP000031.2	691742	691936	-		SPO0665
CP000031.2	692041	692844	+		SPO0666
CP000031.2	692934	694421	+	hisS	SPO0667
CP000031.2	694418	695506	+		SPO0668
CP000031.2	695503	696195	+		SPO0669
CP000031.2	696284	699589	-		SPO0670
CP000031.2	699586	700959	-		SPO0671
CP000031.2	700979	701554	-		SPO0672
CP000031.2	701700	703097	-	tpa	SPO0673
CP000031.2	703492	704502	+	tauA	SPO0674
CP000031.2	704611	705417	+	tauB	SPO0675
CP000031.2	705816	706688	+	tauC	SPO0676
CP000031.2	706830	708458	+		SPO0677
CP000031.2	708545	709504	-		SPO0678
CP000031.2	709635	710276	-	hmgC	SPO0679
CP000031.2	710423	710968	-		SPO0680
CP000031.2	710974	711168	-		SPO0681
CP000031.2	711174	712787	-		SPO0682
CP000031.2	713008	713958	-		SPO0683
CP000031.2	713962	714321	-		SPO0684
CP000031.2	714329	715582	-	hmgB	SPO0685
CP000031.2	715656	717011	-	hmgA	SPO0686
CP000031.2	717070	717522	+		SPO0687
CP000031.2	717597	718844	+		SPO0688
CP000031.2	718845	719654	-		SPO0689
CP000031.2	720122	720451	-		SPO0690
CP000031.2	720510	721415	-	era	SPO0691
CP000031.2	721598	722983	+		SPO0692
CP000031.2	723038	724732	-		SPO0693
CP000031.2	724857	725420	-		SPO0694
CP000031.2	725429	725722	-		SPO0695
CP000031.2	726005	726080	-		SPO_tRNA-Val-2
CP000031.2	726144	727223	-	modC	SPO0697
CP000031.2	727220	727912	-	modB	SPO0698
CP000031.2	727916	728680	-	modA	SPO0699
CP000031.2	728731	729153	-		SPO0700
CP000031.2	729187	730212	-	gap-1	SPO0701
CP000031.2	730360	731346	-		SPO0702
CP000031.2	731343	732338	-		SPO0703
CP000031.2	732335	733459	-		SPO0704
CP000031.2	733464	734468	-		SPO0705
CP000031.2	734529	736568	-		SPO0706
CP000031.2	736565	737440	-		SPO0707
CP000031.2	737678	739048	+		SPO0708
CP000031.2	739099	740697	-	pckA	SPO0709
CP000031.2	741038	741742	+	chvI	SPO0710
CP000031.2	741776	743485	+	chvG	SPO0711
CP000031.2	743433	743951	+		SPO0712
CP000031.2	743983	744837	+		SPO0713
CP000031.2	744834	745226	+		SPO0714
CP000031.2	745243	745512	+		SPO0715
CP000031.2	745551	746438	+		SPO0716
CP000031.2	746530	747405	-	bhbD	SPO0717
CP000031.2	747562	748404	+		SPO0718
CP000031.2	748464	749393	-	etfA	SPO0719
CP000031.2	749393	750151	-	etfB	SPO0720
CP000031.2	750350	750715	+		SPO0721
CP000031.2	750882	751454	-		SPO0722
CP000031.2	751458	751658	-		SPO0723
CP000031.2	751737	752564	-		SPO0724
CP000031.2	752640	753275	-		SPO0725
CP000031.2	753491	755839	+	parC	SPO0726
CP000031.2	755808	756530	+		SPO0727
CP000031.2	756638	757813	+	tuf-1	SPO0728
CP000031.2	758045	758746	-		SPO0729
CP000031.2	758889	758964	+		SPO_tRNA-Trp-2
CP000031.2	759231	760004	+	glpR	SPO0731
CP000031.2	759997	761568	+	glpD	SPO0732
CP000031.2	761581	762558	-		SPO0733
CP000031.2	762660	763460	-		SPO0734
CP000031.2	763539	765560	-	paaZ	SPO0735
CP000031.2	765717	767069	-		SPO0736
CP000031.2	767066	767572	-		SPO0737
CP000031.2	767629	768648	-		SPO0738
CP000031.2	768720	770765	-		SPO0739
CP000031.2	770868	771653	+	paaB	SPO0740
CP000031.2	771656	772084	+	paaD	SPO0741
CP000031.2	772100	773410	+	paaF	SPO0742
CP000031.2	773414	774010	+		SPO0743
CP000031.2	774969	776690	-		SPO0744
CP000031.2	776691	778907	-		SPO0745
CP000031.2	778867	780237	-		SPO0746
CP000031.2	780324	782021	+		SPO0747
CP000031.2	782078	783100	-		SPO0748
CP000031.2	783081	783650	-		SPO0749
CP000031.2	784281	785039	+		SPO0750
CP000031.2	785122	786294	-		SPO0751
CP000031.2	786572	787330	-		SPO0752
CP000031.2	787341	788414	-	paaK	SPO0753
CP000031.2	788425	788886	-	paaJ	SPO0754
CP000031.2	788891	789652	-	paaI	SPO0755
CP000031.2	789652	789936	-	paaH	SPO0756
CP000031.2	790030	791022	-	paaG	SPO0757
CP000031.2	791038	792240	-		SPO0758
CP000031.2	792462	792785	-		SPO0759
CP000031.2	792823	793218	-		SPO0760
CP000031.2	793222	794040	-		SPO0761
CP000031.2	794235	794885	+		SPO0762
CP000031.2	794967	795680	-		SPO0763
CP000031.2	795779	797038	+		SPO0764
CP000031.2	797078	798367	+		SPO0765
CP000031.2	798378	798692	+		SPO0766
CP000031.2	798877	799569	+		SPO0767
CP000031.2	799572	800345	-		SPO0768
CP000031.2	800419	801459	+		SPO0769
CP000031.2	801481	802047	+		SPO0770
CP000031.2	802047	803666	+		SPO0771
CP000031.2	803808	805904	+		SPO0772
CP000031.2	805904	807079	+		SPO0773
CP000031.2	807186	808376	+		SPO0774
CP000031.2	808382	809509	+		SPO0775
CP000031.2	809490	809915	+		SPO0776
CP000031.2	809915	810682	+		SPO0777
CP000031.2	810705	812195	+		SPO0778
CP000031.2	812451	813140	-	rpe	SPO0779
CP000031.2	813315	814136	+	phoC	SPO0780
CP000031.2	814165	815100	+	phnD	SPO0781
CP000031.2	815166	816047	+	phoE	SPO0782
CP000031.2	816044	817414	+	phnE	SPO0783
CP000031.2	817436	818050	+		SPO0784
CP000031.2	818128	818982	+		SPO0785
CP000031.2	819039	819443	+		SPO0786
CP000031.2	819425	820081	-	gph-1	SPO0787
CP000031.2	820376	821296	-		SPO0788
CP000031.2	821480	821647	+		SPO0789
CP000031.2	821644	822087	+		SPO0790
CP000031.2	822092	825148	-		SPO0791
CP000031.2	825264	826136	-		SPO0792
CP000031.2	826232	826621	-	cueR	SPO0793
CP000031.2	826632	829118	-		SPO0794
CP000031.2	829200	829955	-		SPO0795
CP000031.2	829952	830875	-		SPO0796
CP000031.2	830872	831774	-		SPO0797
CP000031.2	831771	833087	-		SPO0798
CP000031.2	833155	833817	+		SPO0799
CP000031.2	833886	835334	-		SPO0800
CP000031.2	835352	836959	-	fadD	SPO0801
CP000031.2	837241	838917	+	rpsA	SPO0802
CP000031.2	839255	839722	-		SPO0803
CP000031.2	840120	840404	+	ihfB	SPO0804
CP000031.2	840408	840764	+		SPO0805
CP000031.2	840773	841423	+	trpF	SPO0806
CP000031.2	841539	841718	+		SPO0807
CP000031.2	841824	843074	+	trpB	SPO0808
CP000031.2	843087	843464	-		SPO0809
CP000031.2	843474	844637	-		SPO0810
CP000031.2	844716	845435	-	pth	SPO0811
CP000031.2	845577	846200	-	rplY	SPO0812
CP000031.2	846326	847489	-		SPO0813
CP000031.2	847598	848041	+		SPO0814
CP000031.2	848045	848836	-	trpA	SPO0815
CP000031.2	848915	849403	-		SPO0816
CP000031.2	849587	850684	+	ychF	SPO0817
CP000031.2	850681	851280	-		SPO0818
CP000031.2	851410	852576	+		SPO0819
CP000031.2	852621	853733	+		SPO0820
CP000031.2	853728	854165	-		SPO0821
CP000031.2	854228	854959	-		SPO0822
CP000031.2	854922	855695	-		SPO0823
CP000031.2	855692	857536	-		SPO0824
CP000031.2	857604	858914	-		SPO0825
CP000031.2	858911	859492	-		SPO0826
CP000031.2	859489	860076	-		SPO0827
CP000031.2	860063	860932	-		SPO0828
CP000031.2	860929	862422	-		SPO0829
CP000031.2	862415	865162	-		SPO0830
CP000031.2	865159	865986	-		SPO0831
CP000031.2	866160	867017	+		SPO0832
CP000031.2	867102	868805	+		SPO0833
CP000031.2	868807	871584	+		SPO0834
CP000031.2	871765	872559	+		SPO0835
CP000031.2	872581	873096	+		SPO0836
CP000031.2	873205	874338	+		SPO0837
CP000031.2	874893	875657	+		SPO0838
CP000031.2	875693	876628	+		SPO0839
CP000031.2	876721	878004	+		SPO0840
CP000031.2	878015	879373	-		SPO0841
CP000031.2	879590	880795	+		SPO0842
CP000031.2	880835	881680	-		SPO0843
CP000031.2	881677	884214	-		SPO0844
CP000031.2	884211	885158	-		SPO0845
CP000031.2	885190	885861	-		SPO0846
CP000031.2	885858	890462	-		SPO0847
CP000031.2	890459	891466	-		SPO0848
CP000031.2	891471	897896	-		SPO0849
CP000031.2	898156	899652	-		SPO0850
CP000031.2	899798	900550	+		SPO0851
CP000031.2	900553	902652	-		SPO0852
CP000031.2	902660	903625	-		SPO0853
CP000031.2	903622	904701	-		SPO0854
CP000031.2	904916	906364	+	xylB	SPO0855
CP000031.2	906361	907665	+	xylA	SPO0856
CP000031.2	907688	908623	+	galM	SPO0857
CP000031.2	908620	909918	+		SPO0858
CP000031.2	909976	911505	-		SPO0859
CP000031.2	911495	912691	-		SPO0860
CP000031.2	912911	913939	+	xylF	SPO0861
CP000031.2	914006	915304	+	xylH	SPO0862
CP000031.2	915301	916071	+	xylG	SPO0863
CP000031.2	916074	916997	+		SPO0864
CP000031.2	916988	917980	+		SPO0865
CP000031.2	918038	919828	-		SPO0866
CP000031.2	919832	923914	-		SPO0867
CP000031.2	923914	925719	-		SPO0868
CP000031.2	925864	927093	-		SPO0869
CP000031.2	927188	928111	+		SPO0870
CP000031.2	928330	928686	-		SPO0871
CP000031.2	928971	930386	+		SPO0872
CP000031.2	930383	930871	+	allA	SPO0873
CP000031.2	930938	932350	+		SPO0874
CP000031.2	932525	933508	-	gap-2	SPO0875
CP000031.2	933711	934538	-		SPO0876
CP000031.2	934723	935070	+		SPO0876a
CP000031.2	935283	936053	+		SPO0877
CP000031.2	936296	936655	+	gcvH-1	SPO0878
CP000031.2	936869	938104	+		SPO0879
CP000031.2	938110	938901	+		SPO0880
CP000031.2	938909	939142	-		SPO0881
CP000031.2	939781	940128	+		SPO0882
CP000031.2	940267	940917	+		SPO0883
CP000031.2	940902	941801	+		SPO0884
CP000031.2	941798	942733	-		SPO0885
CP000031.2	942924	943211	+	groES	SPO0886
CP000031.2	943274	944914	+	groEL	SPO0887
CP000031.2	945189	945659	+		SPO0888
CP000031.2	945707	946549	+		SPO0889
CP000031.2	946588	947361	+		SPO0890
CP000031.2	947358	948506	+		SPO0891
CP000031.2	948639	949712	-	purK	SPO0892
CP000031.2	949705	950193	-	purE	SPO0893
CP000031.2	950283	950534	-		SPO0894
CP000031.2	950676	951089	+		SPO0895
CP000031.2	951093	951317	+		SPO0896
CP000031.2	951413	952291	+		SPO0897
CP000031.2	952298	953158	+		SPO0898
CP000031.2	953213	954385	+		SPO0899
CP000031.2	954454	956163	-	sat	SPO0900
CP000031.2	956355	958052	-		SPO0901
CP000031.2	958112	958576	-		SPO0902
CP000031.2	958581	959522	-	trxB	SPO0903
CP000031.2	959739	960239	+		SPO0904
CP000031.2	960338	961123	-		SPO0905
CP000031.2	961874	962629	-		SPO0906
CP000031.2	962626	963693	-		SPO0907
CP000031.2	963690	964577	-	lgt	SPO0908
CP000031.2	964674	964922	+		SPO0909
CP000031.2	965250	965750	+		SPO0910
CP000031.2	965769	966605	+	proC	SPO0911
CP000031.2	966598	966936	+	csaA	SPO0912
CP000031.2	966936	967889	+		SPO0913
CP000031.2	968103	968699	-	tdk	SPO0914
CP000031.2	968965	969525	+		SPO0915
CP000031.2	969636	970499	+		SPO0916
CP000031.2	970667	971044	+		SPO0917
CP000031.2	971104	972231	-	fabH-1	SPO0918
CP000031.2	972395	972868	+		SPO0919
CP000031.2	972902	973903	+		SPO0920
CP000031.2	973915	976947	+		SPO0921
CP000031.2	976962	977372	-		SPO0922
CP000031.2	977564	980932	-	carB	SPO0923
CP000031.2	981129	982250	+	pabB	SPO0924
CP000031.2	982205	982852	+		SPO0925
CP000031.2	983054	984835	+	aspS	SPO0926
CP000031.2	984838	985011	+		SPO0927
CP000031.2	984843	985556	-		SPO0928
CP000031.2	985558	986190	-		SPO0929
CP000031.2	986385	986492	-		SPO0930
CP000031.2	986494	987213	-		SPO0931
CP000031.2	987344	987754	+		SPO0932
CP000031.2	987788	988063	+		SPO0933
CP000031.2	988096	988791	-		SPO0934
CP000031.2	988788	989366	-		SPO0935
CP000031.2	989511	989696	+		SPO0936
CP000031.2	989744	990022	+		SPO0937
CP000031.2	990026	990295	-		SPO0938
CP000031.2	990385	991101	+		SPO0939
CP000031.2	991098	991466	+		SPO0940
CP000031.2	991538	991789	+		SPO0941
CP000031.2	991820	992077	+		SPO0942
CP000031.2	992078	992320	-		SPO0943
CP000031.2	993167	994567	-		SPO0944
CP000031.2	994656	996593	+		SPO0945
CP000031.2	996821	998317	-	algC	SPO0946
CP000031.2	998338	999171	-	kdsA	SPO0947
CP000031.2	999176	1000354	-	kpsE	SPO0948
CP000031.2	1000872	1001585	-	kpsT	SPO0949
CP000031.2	1001794	1002420	+		SPO0950
CP000031.2	1002389	1003177	+		SPO0951
CP000031.2	1003205	1004635	+		SPO0952
CP000031.2	1004464	1005342	-		SPO0953
CP000031.2	1005565	1006089	+		SPO0954
CP000031.2	1006274	1008169	+		SPO0955
CP000031.2	1008221	1008817	-		SPO0956
CP000031.2	1008967	1009758	+		SPO0957
CP000031.2	1009819	1011051	-		SPO0958
CP000031.2	1011249	1012265	-		SPO0959
CP000031.2	1012298	1012663	-		SPO0960
CP000031.2	1012747	1013004	+		SPO0961
CP000031.2	1013245	1014420	+	argD	SPO0962
CP000031.2	1014509	1015435	+	argF	SPO0963
CP000031.2	1015553	1016470	+	argC-1	SPO0964
CP000031.2	1016467	1017357	+		SPO0965
CP000031.2	1017415	1018410	+	panE-1	SPO0966
CP000031.2	1018496	1019974	-		SPO0967
CP000031.2	1020067	1020525	-		SPO0968
CP000031.2	1021579	1022274	+	apqZ	SPO0970
CP000031.2	1022389	1023993	+		SPO0971
CP000031.2	1024036	1026486	-	hrpB	SPO0972
CP000031.2	1026710	1027687	+		SPO0973
CP000031.2	1027915	1028202	+	rpmB	SPO0974
CP000031.2	1028307	1028753	+		SPO0975
CP000031.2	1028799	1029278	+		SPO0976
CP000031.2	1029329	1030363	-		SPO0977
CP000031.2	1030330	1031028	-		SPO0978
CP000031.2	1031073	1031534	+		SPO0979
CP000031.2	1031809	1032768	-		SPO0980
CP000031.2	1032852	1034153	+		SPO0981
CP000031.2	1034804	1036105	-		SPO0982
CP000031.2	1036158	1037957	+	lepA	SPO0983
CP000031.2	1038961	1039758	-	znuB	SPO0984
CP000031.2	1039755	1040525	-	znuC	SPO0985
CP000031.2	1040522	1041001	-	zur	SPO0986
CP000031.2	1041089	1042057	+	znuA	SPO0987
CP000031.2	1042070	1043128	-		SPO0988
CP000031.2	1043192	1043578	-		SPO0989
CP000031.2	1043672	1044049	-	soxS	SPO0990
CP000031.2	1044145	1044882	+	soxV	SPO0991
CP000031.2	1044910	1045485	+	soxW	SPO0992
CP000031.2	1045604	1046089	+	soxX	SPO0993
CP000031.2	1046132	1046548	+	soxY	SPO0994
CP000031.2	1046582	1046911	+	soxZ	SPO0995
CP000031.2	1046989	1047840	+	soxA	SPO0996
CP000031.2	1047942	1049645	+	soxB	SPO0997
CP000031.2	1049724	1051007	+	soxC	SPO0998
CP000031.2	1050991	1052034	+	soxD	SPO0999
CP000031.2	1052038	1052748	+	soxE	SPO1000
CP000031.2	1052787	1054049	+	soxF	SPO1001
CP000031.2	1054074	1055078	-		SPO1002
CP000031.2	1055347	1055952	+	clpP	SPO1003
CP000031.2	1056092	1057360	+	clpX	SPO1004
CP000031.2	1057372	1057887	+		SPO1005
CP000031.2	1057979	1058362	+		SPO1006
CP000031.2	1058373	1058828	+		SPO1007
CP000031.2	1058825	1059184	+		SPO1008
CP000031.2	1059148	1059780	-	aat	SPO1009
CP000031.2	1059832	1061181	-	accC	SPO1010
CP000031.2	1061192	1061686	-	accB	SPO1011
CP000031.2	1061834	1062370	-		SPO1012
CP000031.2	1062461	1063621	+		SPO1013
CP000031.2	1063618	1065126	+		SPO1014
CP000031.2	1065123	1065926	+		SPO1015
CP000031.2	1065928	1066908	-		SPO1016
CP000031.2	1066985	1067740	-		SPO1017
CP000031.2	1067810	1068565	-		SPO1018
CP000031.2	1068578	1069780	-		SPO1019
CP000031.2	1069784	1070824	-		SPO1020
CP000031.2	1070920	1072272	-		SPO1021
CP000031.2	1072501	1073799	+		SPO1022
CP000031.2	1073885	1074265	+		SPO1023
CP000031.2	1074262	1074567	+		SPO1024
CP000031.2	1074564	1077242	+		SPO1025
CP000031.2	1077321	1078487	+		SPO1026
CP000031.2	1078507	1078938	-		SPO1027
CP000031.2	1078948	1079379	-		SPO1028
CP000031.2	1079379	1079807	-		SPO1029
CP000031.2	1079848	1080765	-		SPO1030
CP000031.2	1080813	1081184	+		SPO1031
CP000031.2	1081209	1081430	-		SPO1032
CP000031.2	1081577	1081837	+		SPO1033
CP000031.2	1081874	1082749	-		SPO1034
CP000031.2	1082914	1082989	+		SPO_tRNA-Thr-2
CP000031.2	1083131	1084375	+		SPO1036
CP000031.2	1084690	1086000	+		SPO1037
CP000031.2	1085994	1086155	-		SPO1038
CP000031.2	1087397	1088779	+		SPO1039
CP000031.2	1088776	1089390	+		SPO1040
CP000031.2	1089460	1089864	+		SPO1041
CP000031.2	1089857	1090525	+		SPO1042
CP000031.2	1090716	1090952	+		SPO1043
CP000031.2	1091161	1092195	+		SPO1044
CP000031.2	1092235	1092594	+		SPO1044a
CP000031.2	1092790	1093338	+		SPO1045
CP000031.2	1093331	1094059	+		SPO1046
CP000031.2	1094204	1095172	+		SPO1047
CP000031.2	1095295	1096320	+		SPO1048
CP000031.2	1096390	1097511	+		SPO1049
CP000031.2	1098450	1099538	+		SPO1050
CP000031.2	1100581	1101597	-		SPO1051
CP000031.2	1102077	1102484	-		SPO1052
CP000031.2	1105456	1105986	-		SPO1053
CP000031.2	1106014	1106523	-		SPO1054
CP000031.2	1106580	1107014	-		SPO1055
CP000031.2	1107038	1107865	-		SPO1056
CP000031.2	1108041	1109039	+		SPO1057
CP000031.2	1109194	1110069	-		SPO1058
CP000031.2	1110767	1112878	+		SPO1059
CP000031.2	1112982	1114358	+		SPO1060
CP000031.2	1114442	1115542	+		SPO1061
CP000031.2	1115804	1116898	+		SPO1062
CP000031.2	1117058	1117894	+		SPO1063
CP000031.2	1117878	1118834	+		SPO1064
CP000031.2	1118837	1120213	+		SPO1065
CP000031.2	1120241	1121029	-		SPO1066
CP000031.2	1121068	1121481	-		SPO1067
CP000031.2	1121521	1122423	-		SPO1068
CP000031.2	1122420	1124522	-		SPO1069
CP000031.2	1125278	1126939	-		SPO1070
CP000031.2	1127008	1127742	-		SPO1071
CP000031.2	1127945	1128685	-		SPO1072
CP000031.2	1128889	1129833	+		SPO1073
CP000031.2	1129841	1130272	+		SPO1074
CP000031.2	1130296	1131801	+		SPO1075
CP000031.2	1131861	1133636	+		SPO1076
CP000031.2	1133707	1134399	-		SPO1077
CP000031.2	1134437	1135321	-		SPO1078
CP000031.2	1135413	1136024	+		SPO1079
CP000031.2	1136077	1137003	+		SPO1080
CP000031.2	1137017	1137475	+		SPO1081
CP000031.2	1137531	1138109	+	betI	SPO1082
CP000031.2	1138106	1139614	+	betC-1	SPO1083
CP000031.2	1139765	1140124	+		SPO1084
CP000031.2	1140145	1140951	-		SPO1085
CP000031.2	1141117	1141698	-		SPO1086
CP000031.2	1141864	1143066	+		SPO1087
CP000031.2	1143149	1144807	+	betA	SPO1088
CP000031.2	1144930	1145169	+		SPO1089
CP000031.2	1145242	1146639	-		SPO1090
CP000031.2	1146709	1146996	-		SPO1091
CP000031.2	1147094	1147996	+		SPO1092
CP000031.2	1147940	1149145	-		SPO1093
CP000031.2	1149328	1150860	+	pccB	SPO1094
CP000031.2	1151077	1151634	+		SPO1094a
CP000031.2	1151638	1152132	+		SPO1095
CP000031.2	1152823	1152960	+		SPO1096
CP000031.2	1153030	1153389	+		SPO1097
CP000031.2	1153470	1154609	-		SPO1098
CP000031.2	1155082	1155204	+		SPO1099
CP000031.2	1155269	1155472	+		SPO1100
CP000031.2	1155593	1157638	+	pccA	SPO1101
CP000031.2	1157643	1158164	+		SPO1102
CP000031.2	1158181	1158765	-		SPO1103
CP000031.2	1158730	1159731	+		SPO1104
CP000031.2	1159697	1161826	+		SPO1105
CP000031.2	1161956	1162558	+		SPO1106
CP000031.2	1162555	1163049	+		SPO1107
CP000031.2	1163090	1163770	+		SPO1108
CP000031.2	1163775	1164788	+		SPO1109
CP000031.2	1165313	1166215	+		SPO1110
CP000031.2	1166293	1167120	+		SPO1111
CP000031.2	1167142	1168179	+		SPO1112
CP000031.2	1168218	1168751	+		SPO1113
CP000031.2	1168748	1170034	+		SPO1114
CP000031.2	1170038	1170691	+		SPO1115
CP000031.2	1170849	1172774	-		SPO1116
CP000031.2	1173335	1174879	-		SPO1117
CP000031.2	1174941	1175618	-		SPO1118
CP000031.2	1175619	1176686	-		SPO1119
CP000031.2	1176926	1177681	+		SPO1120
CP000031.2	1177998	1179392	+	proS	SPO1121
CP000031.2	1179397	1179762	-		SPO1122
CP000031.2	1179968	1181311	+	lolE	SPO1123
CP000031.2	1181304	1181990	+	lolD	SPO1124
CP000031.2	1182005	1182460	+		SPO1125
CP000031.2	1182486	1182878	+		SPO1126
CP000031.2	1182894	1183301	+		SPO1127
CP000031.2	1183369	1184169	-		SPO1128
CP000031.2	1184210	1184872	-		SPO1129
CP000031.2	1184935	1185342	-		SPO1130
CP000031.2	1185538	1186548	+		SPO1131
CP000031.2	1186558	1187610	+		SPO1132
CP000031.2	1187607	1189670	+		SPO1133
CP000031.2	1189755	1190423	+		SPO1134
CP000031.2	1190455	1191006	+		SPO1135
CP000031.2	1191288	1192661	-	doeD	SPO1136
CP000031.2	1192816	1194291	-	doeC	SPO1137
CP000031.2	1194419	1194898	-	doeX	SPO1138
CP000031.2	1194910	1195902	-	doeB	SPO1139
CP000031.2	1195906	1197093	-	doeA	SPO1140
CP000031.2	1197113	1198147	-	eutC	SPO1141
CP000031.2	1198098	1199105	-		SPO1142
CP000031.2	1199123	1199887	-	eutA	SPO1143
CP000031.2	1199896	1200333	-		SPO1144
CP000031.2	1200346	1201632	-	uehC	SPO1145
CP000031.2	1201643	1202209	-	uehB	SPO1146
CP000031.2	1202279	1203298	-	uehA	SPO1147
CP000031.2	1203396	1204790	-	gntR	SPO1148
CP000031.2	1205882	1206655	+		SPO1150
CP000031.2	1206670	1206975	+		SPO1151
CP000031.2	1207066	1207524	+		SPO1152
CP000031.2	1207720	1208196	+		SPO1153
CP000031.2	1208193	1208753	-		SPO1154
CP000031.2	1208814	1209131	-		SPO1155
CP000031.2	1209128	1209889	-	hisF	SPO1156
CP000031.2	1209923	1210417	-		SPO1157
CP000031.2	1210494	1211216	-	hisA	SPO1158
CP000031.2	1211349	1211747	+		SPO1159
CP000031.2	1211791	1212327	-		SPO1160
CP000031.2	1212346	1213137	+		SPO1161
CP000031.2	1213226	1213864	-	hisH	SPO1162
CP000031.2	1213864	1214451	-	hisB	SPO1163
CP000031.2	1214564	1214851	+		SPO1164
CP000031.2	1214838	1215611	-		SPO1165
CP000031.2	1215665	1217017	-		SPO1166
CP000031.2	1217180	1217254	-		SPO_tRNA-Gly-2
CP000031.2	1217386	1217910	+		SPO1168
CP000031.2	1217972	1218046	-		SPO_tRNA-Gly-3
CP000031.2	1218080	1218154	-		SPO_tRNA-Gly-4
CP000031.2	1218330	1221767	-	pyc	SPO1171
CP000031.2	1221905	1223050	-		SPO1172
CP000031.2	1223160	1224956	-		SPO1173
CP000031.2	1225147	1227543	+		SPO1174
CP000031.2	1227562	1228425	-		SPO1175
CP000031.2	1228426	1229202	-		SPO1176
CP000031.2	1229630	1229854	-		SPO1177
CP000031.2	1230788	1231291	+		SPO1178
CP000031.2	1231296	1232291	+	mraW	SPO1179
CP000031.2	1232288	1232656	+		SPO1180
CP000031.2	1232653	1234440	+		SPO1181
CP000031.2	1234459	1235940	+	murE	SPO1182
CP000031.2	1235937	1237331	+	murF	SPO1183
CP000031.2	1237347	1238429	+	mraY	SPO1184
CP000031.2	1238572	1239372	+		SPO1185
CP000031.2	1239344	1240468	+		SPO1186
CP000031.2	1240535	1241935	+	murD	SPO1187
CP000031.2	1242071	1243291	-		SPO1188
CP000031.2	1243311	1244195	-		SPO1189
CP000031.2	1244295	1244657	-		SPO1190
CP000031.2	1244785	1245399	+	gst	SPO1191
CP000031.2	1245396	1245782	+		SPO1192
CP000031.2	1245843	1246049	+		SPO1193
CP000031.2	1246138	1247379	+		SPO1194
CP000031.2	1247393	1248490	+		SPO1195
CP000031.2	1248487	1249884	+	murC	SPO1196
CP000031.2	1249977	1251185	+		SPO1197
CP000031.2	1251430	1251675	+		SPO1198
CP000031.2	1251912	1252226	+		SPO1199
CP000031.2	1252295	1253221	+	murB	SPO1200
CP000031.2	1253321	1254241	+	ddlB	SPO1201
CP000031.2	1254229	1255236	+		SPO1202
CP000031.2	1255242	1256579	+	ftsA	SPO1203
CP000031.2	1256977	1258605	+	ftsZ	SPO1204
CP000031.2	1258818	1259738	+	lpxC	SPO1205
CP000031.2	1259889	1260743	+		SPO1206
CP000031.2	1260783	1262432	+	recN	SPO1207
CP000031.2	1262478	1264223	+		SPO1208
CP000031.2	1264367	1265815	+		SPO1209
CP000031.2	1265971	1267566	+		SPO1210
CP000031.2	1267641	1268582	+		SPO1211
CP000031.2	1268582	1269484	+		SPO1212
CP000031.2	1269468	1271138	+		SPO1213
CP000031.2	1271142	1272311	+		SPO1214
CP000031.2	1272317	1273447	+		SPO1215
CP000031.2	1274318	1275037	-		SPO1216
CP000031.2	1275143	1275397	+		SPO1217
CP000031.2	1277270	1278859	-		SPO1218
CP000031.2	1279110	1280237	+		SPO1219
CP000031.2	1280320	1280676	-		SPO1220
CP000031.2	1280671	1282653	+		SPO1221
CP000031.2	1283505	1284989	-		SPO1222
CP000031.2	1285245	1286072	-		SPO1223
CP000031.2	1286091	1287254	-		SPO1224
