Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
yeeR	BW25113_RS10450	2068260	2069792	CP4-44 prophage; inner membrane protein YeeR
yaiO	BW25113_RS01850	375525	376298	outer membrane protein YaiO
yadG	BW25113_RS00635	139266	140192	putative ABC transporter ATP-binding protein YadG
csgF	BW25113_RS05400	1097167	1097583	curli assembly component CsgF
ybeU	BW25113_RS03365	674964	675671	DUF1266 domain-containing protein YbeU
hsdR	BW25113_RS22645	4573066	4576578	type I restriction-modification system endonuclease
puuC	BW25113_RS06815	1357000	1358487	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase
wbbH	BW25113_RS10630	2099541	2100707	putative O-antigen polymerase
rutD	BW25113_RS05250	1066421	1067221	putative aminoacrylate hydrolase RutD
hyfE	BW25113_RS12965	2599621	2600271	hydrogenase 4 component E
mutH	BW25113_RS14730	2963021	2963710	DNA mismatch repair protein MutH
yejF	BW25113_RS11380	2269779	2271368	oligopeptide ABC transporter ATP binding subunit YejF
hypT	BW25113_RS22535	4547195	4548106	DNA-binding transcriptional dual regulator HypT
radA	BW25113_RS22860	4615729	4617111	DNA recombination protein
fliG	BW25113_RS10140	2008361	2009356	flagellar motor switch protein FliG
yfaP	BW25113_RS11620	2320846	2321622	DUF2135 domain-containing protein YfaP
ygfM	BW25113_RS14975	3013899	3014678	putative oxidoreductase
atpE	BW25113_RS19425	3914310	3914549	ATP synthase F<sub>o</sub> complex subunit c
mdtN	BW25113_RS21200	4292895	4293926	putative multidrug efflux pump membrane fusion protein
BW25113_RS19825	BW25113_RS19825	3996173	3996589	hypothetical protein
nhaA	BW25113_RS00090	17489	18655	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA
BW25113_RS18665	BW25113_RS18665	3760567	3761525	RHS repeat protein
flxA	BW25113_RS08210	1640662	1640994	Qin prophage; PF14282 family protein FlxA
yfcC	BW25113_RS12005	2410560	2412080	putative transporter YfcC
yfaX	BW25113_RS11745	2354908	2355690	putative DNA-binding transcriptional regulator YfaX
betI	BW25113_RS01610	324458	325045	DNA-binding transcriptional repressor BetI
qorB	BW25113_RS21880	4422981	4423841	NAD(P)H:quinone oxidoreductase
priB	BW25113_RS21830	4415337	4415651	primosomal replication protein N
hyfH	BW25113_RS12980	2603523	2604068	hydrogenase 4 component H
xylG	BW25113_RS18515	3725561	3727102	xylose ABC transporter ATP binding subunit
waaB	BW25113_RS18840	3796418	3797497	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase
malM	BW25113_RS20960	4239482	4240402	maltose regulon periplasmic protein
frdD	BW25113_RS21575	4368824	4369183	fumarate reductase membrane protein FrdD
ackA	BW25113_RS11995	2406949	2408151	acetate kinase
yedI	BW25113_RS10230	2021930	2022847	DUF808 domain-containing inner membrane protein YedI
ansA	BW25113_RS09250	1845117	1846133	L-asparaginase 1
BW25113_RS16455	BW25113_RS16455	3315431	3315517	tRNA-Leu
yicR	BW25113_RS18890	3805251	3805919	RadC-like JAB domain-containing protein YicR
yeiH	BW25113_RS11265	2243196	2244245	PF03601 family inner membrane protein YeiH
BW25113_RS25540	BW25113_RS25540	1218866	1218985	hypothetical protein
ortT	BW25113_RS07590	1511646	1511819	orphan toxin OrtT
hflC	BW25113_RS21695	4393117	4394121	regulator of FtsH protease
frlA	BW25113_RS17470	3493218	3494606	fructoselysine/psicoselysine transporter
rplD	BW25113_RS17205	3445040	3445645	50S ribosomal protein L4
astD	BW25113_RS09135	1822513	1823991	aldehyde dehydrogenase
rsxE	BW25113_RS08540	1705085	1705780	SoxR [2Fe-2S] reducing system protein RsxE
ydiZ	BW25113_RS09020	1801657	1801947	putative endoribonuclease YdiZ
proS	BW25113_RS00975	213544	215262	proline&mdash;tRNA ligase
BW25113_RS01930	BW25113_RS01930	388432	389874	autotransporter outer membrane beta-barrel domain-containing protein
BW25113_RS01295	BW25113_RS01295	265989	266246	transposase
BW25113_RS25915	BW25113_RS25915	396457	396660	hypothetical protein
ybeQ	BW25113_RS03345	671026	672003	Sel1 repeat-containing protein YbeQ
glpA	BW25113_RS11705	2346126	2347754	anaerobic glycerol-3-phosphate dehydrogenase subunit A
uxaC	BW25113_RS16060	3236688	3238100	D-glucoronate/D-galacturonate isomerase
cysG	BW25113_RS17460	3491187	3492560	siroheme synthase
yehA	BW25113_RS10995	2180859	2181893	putative fimbrial adhesin YehA
hypB	BW25113_RS14195	2844360	2845232	hydrogenase isoenzymes nickel incorporation protein HypB
ydcR	BW25113_RS07555	1504260	1505666	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
envZ	BW25113_RS17640	3527875	3529227	sensor histidine kinase EnvZ
ribF	BW25113_RS00120	21407	22348	bifunctional riboflavin kinase / FMN adenylyltransferase
cutA	BW25113_RS21495	4354835	4355173	copper binding protein CutA
motB	BW25113_RS09900	1969586	1970512	motility protein B
ydgC	BW25113_RS08410	1675952	1676287	GlpM family protein
cysN	BW25113_RS14315	2867351	2868778	sulfate adenylyltransferase subunit 1
osmC	BW25113_RS07770	1550882	1551313	osmotically inducible peroxiredoxin OsmC
ydcI	BW25113_RS07460	1488405	1489328	DNA-binding transcriptional dual regulator YdcI
fhuC	BW25113_RS00760	166265	167062	iron(III) hydroxamate ABC transporter ATP binding subunit
yfeZ	BW25113_RS12690	2544636	2545085	putative inner membrane protein
BW25113_RS23085	BW25113_RS23085	1282166	1282297	RtT sRNA
yqgB	BW25113_RS15265	3079279	3079410	acid stress response protein YqgB
ytfB	BW25113_RS21855	4417896	4418534	cell division protein YtfB
yhjG	BW25113_RS18265	3669650	3671710	AsmA family protein YhjG
ybgP	BW25113_RS03710	744435	745163	putative fimbrial chaperone YbgP
holB	BW25113_RS05720	1151218	1152222	DNA polymerase III subunit &delta;'
serA	BW25113_RS15140	3050537	3051769	phosphoglycerate dehydrogenase
BW25113_RS03650	BW25113_RS03650	732281	733417	ISAs1 family transposase
yeaQ	BW25113_RS09395	1873264	1873512	PF04226 family protein YeaQ
ptrA	BW25113_RS14670	2949355	2952243	protease 3
fetB	BW25113_RS02535	512039	512818	putative iron ABC exporter membrane subunit FetB
arpA	BW25113_RS20840	4210229	4212415	regulator of acetyl CoA synthetase
cspD	BW25113_RS04570	917822	918046	DNA replication inhibitor CspD
eptB	BW25113_RS18400	3702144	3703835	phosphoethanolamine transferase EptB
mdtJ	BW25113_RS08375	1667393	1667758	multidrug/spermidine efflux pump membrane subunit MdtJ
BW25113_RS25705	BW25113_RS25705	2776997	2778370	DUF5507 domain-containing protein
putP	BW25113_RS05285	1074761	1076269	proline:Na<sup>+</sup> symporter
glsA	BW25113_RS02505	507097	508029	glutaminase 1
ygaM	BW25113_RS13910	2793505	2793834	tail-anchored inner membrane protein YgaM
BW25113_RS05280	BW25113_RS05280	1074393	1074602	hypothetical protein
yjbF	BW25113_RS20890	4226190	4226828	lipoprotein YjbF
sdaC	BW25113_RS14545	2921588	2922877	L-serine:H+ symporter
clpX	BW25113_RS02270	452882	454156	ATP-dependent Clp protease ATP-binding subunit ClpX
yfiH	BW25113_RS13545	2727662	2728393	purine nucleoside phosphorylase YfiH
ccmC	BW25113_RS11475	2289062	2289799	cytochrome <i>c</i> maturation protein C
bipA	BW25113_RS20090	4051767	4053590	50S ribosomal subunit assembly factor BipA
yfcJ	BW25113_RS12125	2432421	2433599	MFS transporter
waaH	BW25113_RS18775	3782407	3783441	UDP-glucuronate:LPS(HepIII) glycosyltransferase
araF	BW25113_RS09945	1978620	1979609	arabinose ABC transporter periplasmic binding protein
ydhP	BW25113_RS08670	1730378	1731547	putative transporter YdhP
xdhB	BW25113_RS14910	2995973	2996851	putative xanthine dehydrogenase FAD-binding subunit XdhB
cysD	BW25113_RS14320	2868780	2869688	sulfate adenylyltransferase subunit 2
BW25113_RS14005	BW25113_RS14005	2811143	2811219	tRNA-Arg
lexA	BW25113_RS20995	4247043	4247651	DNA-binding transcriptional repressor LexA
rcnB	BW25113_RS10990	2180439	2180777	periplasmic protein involved in nickel/cobalt export
bglJ	BW25113_RS22730	4593977	4594654	DNA-binding transcriptional regulator BglJ
narI	BW25113_RS06405	1281305	1281982	nitrate reductase A subunit &gamma;
hybC	BW25113_RS15550	3134645	3136348	hydrogenase 2 large subunit
yneK	BW25113_RS08005	1610020	1611135	protein YneK
dapD	BW25113_RS00830	181610	182434	tetrahydrodipicolinate succinylase
yrfG	BW25113_RS17610	3522028	3522696	purine nucleotidase
yieH	BW25113_RS19315	3890134	3890799	6-phosphogluconate phosphatase
BW25113_RS21480	BW25113_RS21480	4352368	4352443	tRNA-Phe
ymfA	BW25113_RS05835	1176720	1177181	putative inner membrane protein YmfA
BW25113_RS25930	BW25113_RS25930	2071628	2071741	DUF957 domain-containing protein
rutG	BW25113_RS05235	1063967	1065295	pyrimidine:H<sup>+</sup> symporter
dnaE	BW25113_RS00920	201613	205095	DNA polymerase III subunit &alpha;
ldtB	BW25113_RS04255	850280	851200	L,D-transpeptidase LdtB
ydeJ	BW25113_RS08060	1619030	1619548	PF02464 family protein YdeJ
rpsB	BW25113_RS00845	186361	187086	30S ribosomal protein S2
yfcV	BW25113_RS12205	2448562	2449125	putative fimbrial protein YfcV
hscB	BW25113_RS13180	2652311	2652826	[Fe-S] cluster biosynthesis co-chaperone HscB
napH	BW25113_RS11500	2292194	2293057	ferredoxin-type protein NapH
mnmE	BW25113_RS19270	3880188	3881552	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit
purN	BW25113_RS13040	2615593	2616231	phosphoribosylglycinamide formyltransferase 1
acpH	BW25113_RS02090	419793	420374	acyl carrier protein phosphodiesterase
ssrA	BW25113_RS23125	2748952	2749314	transfer-messenger RNA
fcl	BW25113_RS10715	2119706	2120671	GDP-L-fucose synthase
mlaC	BW25113_RS16545	3330615	3331250	intermembrane phospholipid transport system - periplasmic binding protein
nanR	BW25113_RS16725	3367057	3367848	NanR
rep	BW25113_RS19615	3954037	3956058	ATP-dependent DNA helicase Rep
yfcA	BW25113_RS12150	2438230	2439039	putative transporter YfcA
ilvB	BW25113_RS19070	3844456	3846144	acetohydroxy acid synthase I subunit IlvB
waaP	BW25113_RS18850	3798513	3799310	lipopolysaccharide core heptose (I) kinase
treR	BW25113_RS22025	4456116	4457063	DNA-binding transcriptional repressor TreR
fadM	BW25113_RS02295	459858	460256	long-chain acyl-CoA thioesterase FadM
ydiE	BW25113_RS08925	1783870	1784061	PF10636 family protein YdiE
chbB	BW25113_RS09090	1815556	1815876	<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component
BW25113_RS20185	BW25113_RS20185	4073087	4073329	hypothetical protein
yhbS	BW25113_RS16360	3293614	3294117	putative <i>N</i>-acetyltransferase YhbS
racC	BW25113_RS07095	1411745	1412020	Rac prophage; protein RacC
crp	BW25113_RS17405	3479479	3480111	DNA-binding transcriptional dual regulator CRP
ybbW	BW25113_RS02625	533089	534543	allantoin transporter
ybcL	BW25113_RS02805	566349	566900	DLP12 prophage; periplasmic protein YbcL
gcd	BW25113_RS00620	135322	137712	quinoprotein glucose dehydrogenase
katE	BW25113_RS09060	1808124	1810385	catalase HPII
yhiI	BW25113_RS18055	3622895	3623962	putative membrane fusion protein YhiI
yqaA	BW25113_RS13990	2809871	2810299	DedA family protein YqaA
mdtM	BW25113_RS22590	4557104	4558336	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter
alaE	BW25113_RS13900	2792523	2792972	L-alanine exporter
yqiK	BW25113_RS15835	3186223	3187884	flotillin family inner membrane protein YqiK
cheW	BW25113_RS09890	1967093	1967596	chemotaxis protein CheW
bioC	BW25113_RS04035	806978	807733	malonyl-acyl carrier protein methyltransferase
glf	BW25113_RS10635	2100707	2101810	UDP-galactopyranose mutase
cydX	BW25113_RS03810	769652	769765	cytochrome <i>bd</i>-I accessory subunit CydX
dgoR	BW25113_RS19205	3867831	3868520	DNA-binding transcriptional regulator DgoR
gntT	BW25113_RS17695	3539918	3541234	high-affinity gluconate transporter
skp	BW25113_RS00890	196969	197454	periplasmic chaperone Skp
dsdC	BW25113_RS12335	2470173	2471108	DNA-binding transcriptional dual regulator DsdC
BW25113_RS07175	BW25113_RS07175	1421646	1421861	Ail/Lom family outer membrane beta-barrel protein
BW25113_RS03570	BW25113_RS03570	712177	712326	winged helix-turn-helix domain-containing protein
araH	BW25113_RS09935	1976035	1977021	arabinose ABC transporter membrane subunit
ydiQ	BW25113_RS08880	1773874	1774638	putative electron transfer flavoprotein subunit YdiQ
maeA	BW25113_RS07755	1548229	1549926	malate dehydrogenase (oxaloacetate-decarboxylating)
yihL	BW25113_RS20095	4053807	4054517	putative DNA-binding transcriptional regulator YihL
trmJ	BW25113_RS13205	2655942	2656682	tRNA Cm32/Um32 methyltransferase
ykfI	BW25113_RS01240	259039	259380	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
acrD	BW25113_RS12875	2580954	2584067	multidrug efflux pump RND permease AcrD
astE	BW25113_RS09125	1820212	1821180	succinylglutamate desuccinylase
ilvD	BW25113_RS19585	3946838	3948688	dihydroxy-acid dehydratase
rplI	BW25113_RS21840	4415925	4416374	50S ribosomal protein L9
htrL	BW25113_RS18790	3786186	3787043	protein HtrL
psuT	BW25113_RS11295	2249564	2250814	putative pseudouridine transporter
gfcB	BW25113_RS05120	1044144	1044788	lipoprotein GfcB
insL1	BW25113_RS00080	15445	16557	IS186/IS421 transposase
bssR	BW25113_RS04340	873704	874087	regulator of biofilm formation
lptG	BW25113_RS22125	4477135	4478217	lipopolysaccharide transport system protein LptG
BW25113_RS06460	BW25113_RS06460	1289882	1290778	IS4 family transposase
norW	BW25113_RS14110	2827271	2828404	NADH:flavorubredoxin reductase
BW25113_RS03870	BW25113_RS03870	776524	776599	tRNA-Val
nuoB	BW25113_RS11945	2397430	2398092	NADH:quinone oxidoreductase subunit B
ydhR	BW25113_RS08725	1740957	1741262	putative monooxygenase YdhR
deoR	BW25113_RS04360	877432	878190	DNA-binding transcriptional repressor DeoR
metN	BW25113_RS01000	218101	219132	L-methionine/D-methionine ABC transporter ATP binding subunit
glmM	BW25113_RS16465	3316092	3317429	phosphoglucosamine mutase
ilvH	BW25113_RS00390	83844	84335	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit
yidQ	BW25113_RS19170	3861088	3861420	DUF1375 domain-containing putative lipoprotein YidQ
yabQ	BW25113_RS25860	59121	59279	protein YabQ
prlF	BW25113_RS16225	3270361	3270696	antitoxin PrlF
bglA	BW25113_RS15085	3037027	3038460	6-phospho-&beta;-glucosidase A
yncG	BW25113_RS07635	1520504	1521121	putative glutathione <i>S</i>-transferase YncG
glgP	BW25113_RS17755	3557494	3559941	glycogen phosphorylase
ftsK	BW25113_RS04620	928680	932669	cell division DNA translocase FtsK
purL	BW25113_RS13330	2685015	2688902	phosphoribosylformylglycinamide synthetase
abgA	BW25113_RS07020	1397512	1398822	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A
rhlB	BW25113_RS19625	3957725	3958990	ATP-dependent RNA helicase RhlB
ykgE	BW25113_RS01575	317319	318038	putative lactate utilization oxidoreductase YkgE
BW25113_RS22180	BW25113_RS22180	4488089	4489317	IS3-like element IS2 family transposase
mdtD	BW25113_RS19510	3932545	3933972	multidrug transporter subunit MdtD
BW25113_RS23100	BW25113_RS23100	1282819	1282950	RtT sRNA
quuD	BW25113_RS02840	569412	569795	DLP12 prophage; prophage antitermination protein Q homolog QuuD
sseB	BW25113_RS13155	2647516	2648292	protein SseB
cmtA	BW25113_RS15235	3070830	3072218	mannitol-specific PTS enzyme IICB component CmtA
pncC	BW25113_RS14055	2817208	2817705	NMN aminohydrolase
otsA	BW25113_RS09925	1973669	1975093	trehalose-6-phosphate synthase
pitB	BW25113_RS15515	3128231	3129730	metal phosphate:H<sup>+</sup> symporter PitB
wcaK	BW25113_RS10680	2110605	2111885	colanic acid biosynthesis pyruvyl transferase WcaK
recB	BW25113_RS14665	2945820	2949362	exodeoxyribonuclease V subunit RecB
fimD	BW25113_RS22460	4534913	4537549	type I fimbriae usher protein
pflD	BW25113_RS20500	4133923	4136220	putative formate acetyltransferase 2
ynaI	BW25113_RS06975	1389148	1390179	small conductance mechanosensitive channel YnaI
BW25113_RS12535	BW25113_RS12535	2514612	2514687	tRNA-Lys
cusS	BW25113_RS02955	588784	590226	sensor histidine kinase CusS
setA	BW25113_RS00350	74108	75286	sugar exporter SetA
ychF	BW25113_RS06265	1252177	1253268	redox-responsive ATPase YchF
flhE	BW25113_RS09845	1956837	1957229	flagellar protein FlhE
ygcR	BW25113_RS14410	2889135	2889914	putative flavoprotein
rarA	BW25113_RS04630	933450	934793	replication-associated recombination protein A
proC	BW25113_RS02000	400291	401100	pyrroline-5-carboxylate reductase
mltB	BW25113_RS14060	2817850	2818935	membrane-bound lytic murein transglycosylase B
yidA	BW25113_RS19215	3869500	3870312	sugar phosphatase YidA
deoD	BW25113_RS22835	4610700	4611419	purine nucleoside phosphorylase
cheB	BW25113_RS09870	1961709	1962758	protein-glutamate methylesterase/protein glutamine deamidase
lrhA	BW25113_RS11955	2399182	2400120	DNA-binding transcriptional dual regulator LrhA
BW25113_RS22250	BW25113_RS22250	4498826	4499610	IS3 family transposase
ansB	BW25113_RS15355	3093041	3094087	L-asparaginase 2
zupT	BW25113_RS15775	3175909	3176682	divalent metal ion transporter ZupT
hrpA	BW25113_RS07410	1477318	1481220	ATP-dependent 3'&rarr;5' RNA helicase HrpA
hycH	BW25113_RS14145	2836395	2836805	formate hydrogenlyase assembly protein
uxuA	BW25113_RS22490	4541453	4542637	D-mannonate dehydratase
yiiS	BW25113_RS20350	4102895	4103194	DUF406 domain-containing protein YiiS
yagB	BW25113_RS01365	276096	276446	CP4-6 prophage; orphan antitoxin YagB
lgoR	BW25113_RS22685	4584754	4585668	putative DNA-binding transcriptional regulator LgoR
nanY	BW25113_RS22220	4495104	4496222	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase
potA	BW25113_RS05855	1179914	1181050	spermidine preferential ABC transporter ATP binding subunit
ydbH	BW25113_RS07250	1437308	1439947	putative phospholipid transport factor YdbH
hyaD	BW25113_RS05060	1031226	1031813	putative hydrogenase 1 maturation protease HyaD
ddpD	BW25113_RS07780	1552288	1553274	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD
fhlA	BW25113_RS14215	2847697	2849775	DNA-binding transcriptional activator FhlA
ilvA	BW25113_RS19590	3948691	3950235	threonine deaminase
hicA	BW25113_RS07545	1503543	1503719	mRNA interferase toxin HicA
rplR	BW25113_RS17130	3438603	3438956	50S ribosomal protein L18
yhiN	BW25113_RS18085	3629568	3630770	putative oxidoreductase YhiN
yiaD	BW25113_RS18430	3709907	3710566	PF13488 family lipoprotein YiaD
cysM	BW25113_RS12630	2532031	2532942	cysteine synthase B
amn	BW25113_RS10350	2048542	2049996	AMP nucleosidase
serS	BW25113_RS04635	934884	936176	serine&mdash;tRNA ligase
bssS	BW25113_RS05525	1116157	1116411	regulator of biofilm formation
msrQ	BW25113_RS10300	2033964	2034599	membrane-bound flavocytochrome MsrQ
gutM	BW25113_RS14085	2821980	2822339	DNA-binding transcriptional activator GutM
ydcH	BW25113_RS07480	1492908	1493132	DUF465 domain-containing protein YdcH
insJK	BW25113_RS25300	3714040	3715409	IS150 protein InsAB
cusR	BW25113_RS02960	590216	590899	DNA-binding transcriptional activator CusR
prpR	BW25113_RS01700	342568	344154	DNA-binding transcriptional dual regulator PrpR
thpR	BW25113_RS00735	157988	158518	RNA 2',3'-cyclic phosphodiesterase
pstS	BW25113_RS19380	3903845	3904885	phosphate ABC transporter periplasmic binding protein
yjfI	BW25113_RS21725	4399950	4400351	DUF2170 domain-containing protein YjfI
yifK	BW25113_RS19710	3974247	3975632	threonine/serine:H<sup>+</sup> symporter ThrP
cmoA	BW25113_RS09805	1946959	1947702	carboxy-<i>S</i>-adenosyl-L-methionine synthase
chaB	BW25113_RS06350	1267575	1267805	putative cation transport regulator ChaB
fiu	BW25113_RS04180	834705	836987	iron catecholate outer membrane transporter Fiu
ulaG	BW25113_RS21780	4408378	4409442	L-ascorbate-6-phosphate lactonase
pxpB	BW25113_RS03680	739049	739705	5-oxoprolinase component B
potB	BW25113_RS05850	1179073	1179930	spermidine preferential ABC transporter membrane subunit PotB
uxaA	BW25113_RS16055	3235186	3236673	D-altronate dehydratase
adiA	BW25113_RS21380	4328071	4330338	arginine decarboxylase, degradative
atoC	BW25113_RS11595	2315345	2316730	DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC
BW25113_RS20630	BW25113_RS20630	4165316	4165391	tRNA-Thr
dppF	BW25113_RS18360	3695224	3696228	dipeptide ABC transporter ATP binding subunit DppF
yegV	BW25113_RS10955	2174575	2175540	putative sugar kinase YegV
yahF	BW25113_RS01650	332489	334036	putative acyl-CoA synthetase YahF
ydfO	BW25113_RS08125	1631304	1631714	Qin prophage; DUF1398 domain-containing protein YdfO
fimA	BW25113_RS22445	4532932	4533480	type 1 fimbriae major subunit
yfaL	BW25113_RS11660	2333896	2337648	putative autotransporter adhesin YfaL
artM	BW25113_RS04470	896322	896990	L-arginine ABC transporter membrane subunit ArtM
metQ	BW25113_RS00990	216600	217415	L-methionine/D-methionine ABC transporter membrane anchored binding protein
BW25113_RS16250	BW25113_RS16250	3274060	3274431	PTS sugar transporter subunit IIC
BW25113_RS05295	BW25113_RS05295	1076812	1077641	FTR1 family protein
ycjT	BW25113_RS06895	1372141	1374408	kojibiose phosphorylase
fliQ	BW25113_RS10190	2016097	2016366	flagellar biosynthesis protein FliQ
yacC	BW25113_RS00610	133057	133404	putative lipoprotein YacC
pyrC	BW25113_RS05535	1117017	1118063	dihydroorotase
yhcA	BW25113_RS16660	3355471	3356145	putative fimbrial chaperone YhcA
yphF	BW25113_RS13285	2671743	2672726	putative ABC transporter periplasmic binding protein YphF
rzpQ	BW25113_RS08145	1633287	1633784	Qin prophage; DUF2514 domain-containing protein RzpQ
bcsG	BW25113_RS18340	3691574	3693253	cellulose phosphoethanolamine transferase
ynjI	BW25113_RS09215	1838088	1839128	DUF1266 domain-containing protein YnjI
gpsA	BW25113_RS18740	3776002	3777021	glycerol-3-phosphate dehydrogenase
htrE	BW25113_RS00695	149316	151913	putative fimbrial usher protein HtrE
yaiA	BW25113_RS02015	402435	402626	protein YaiA
ybiB	BW25113_RS04155	830704	831666	nonspecific DNA-binding protein YbiB
ybfD	BW25113_RS03655	733548	734306	ISAs1 family transposase
ubiB	BW25113_RS19910	4013586	4015226	ubiquinone biosynthesis protein UbiB
ycdY	BW25113_RS05385	1095096	1095650	chaperone protein YcdY
fimE	BW25113_RS22435	4531854	4532450	regulator for fimA
BW25113_RS19530	BW25113_RS19530	3937064	3939967	23S ribosomal RNA
waaL	BW25113_RS18810	3790308	3791567	O-antigen ligase
BW25113_RS14850	BW25113_RS14850	2987819	2988451	response regulator transcription factor
pmrD	BW25113_RS11805	2366751	2367017	signal transduction protein PmrD
yjeT	BW25113_RS21700	4394203	4394400	DUF2065 domain-containing protein YjeT
cvpA	BW25113_RS12080	2423754	2424242	colicin V production protein
yeaD	BW25113_RS09315	1858107	1858991	putative aldose 1-epimerase YeaD
glpD	BW25113_RS17745	3555373	3556878	aerobic glycerol 3-phosphate dehydrogenase
pspD	BW25113_RS06850	1363650	1363871	phage shock protein D
apaH	BW25113_RS00255	50380	51222	diadenosine tetraphosphatase
cdh	BW25113_RS20330	4099858	4100613	CDP-diacylglycerol diphosphatase
yliI	BW25113_RS04345	874198	875313	aldose sugar dehydrogenase YliI
yecD	BW25113_RS09790	1945089	1945655	isochorismatase family protein YecD
BW25113_RS20640	BW25113_RS20640	4165601	4165675	tRNA-Gly
dicC	BW25113_RS08220	1641877	1642107	Qin prophage; putative DNA-binding transcriptional regulator DicC
yobH	BW25113_RS09570	1903182	1903421	uncharacterized protein YobH
yccF	BW25113_RS04985	1019358	1019804	PF03733 family inner membrane protein YccF
bglF	BW25113_RS19350	3897080	3898957	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase
ralR	BW25113_RS07080	1407990	1408184	Rac prophage; endodeoxyribonuclease toxin RalR
rclR	BW25113_RS01570	315938	316792	DNA-binding transcriptional activator RclR
psiF	BW25113_RS01990	398737	399057	phosphate starvation-inducible protein PsiF
pgl	BW25113_RS03985	794042	795037	6-phosphogluconolactonase
lsrC	BW25113_RS07935	1597276	1598304	Autoinducer-2 ABC transporter membrane subunit LsrC
dcm	BW25113_RS10245	2024380	2025798	DNA-cytosine methyltransferase
gfcD	BW25113_RS05110	1041305	1043401	putative lipoprotein GfcD
pssA	BW25113_RS13500	2716086	2717441	phosphatidylserine synthase
moaB	BW25113_RS04065	813511	814023	protein MoaB
purB	BW25113_RS05885	1186072	1187442	adenylosuccinate lyase
yjaZ	BW25113_RS20695	4179714	4180253	protein YjaZ
yhhS	BW25113_RS17980	3603876	3605093	MFS transporter
trkA	BW25113_RS17055	3429877	3431253	NAD-binding component of Trk potassium transporters
rnc	BW25113_RS13395	2696742	2697422	RNase III
glyA	BW25113_RS13300	2677613	2678866	serine hydroxymethyltransferase
ynfS	BW25113_RS25625	1636379	1636468	Qin prophage; protein YnfS
BW25113_RS14010	BW25113_RS14010	2811418	2811494	tRNA-Arg
lysU	BW25113_RS21455	4343017	4344534	lysyl-tRNA synthetase
ydeP	BW25113_RS07870	1578464	1580743	putative oxidoreductase YdeP
BW25113_RS25990	BW25113_RS25990	1215057	1217704	autotransporter outer membrane beta-barrel domain-containing protein
relB	BW25113_RS08205	1639890	1640129	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
potD	BW25113_RS05840	1177239	1178285	spermidine preferential ABC transporter periplasmic binding protein
yihS	BW25113_RS20135	4063875	4065116	sulfoquinovose isomerase
murI	BW25113_RS20585	4155356	4156213	glutamate racemase
yeeO	BW25113_RS10365	2051684	2053327	FMN/FAD exporter
maa	BW25113_RS02370	474823	475374	maltose <i>O</i>-acetyltransferase
aldB	BW25113_RS18630	3748333	3749871	aldehyde dehydrogenase B
ftsY	BW25113_RS17935	3596110	3597603	signal recognition particle receptor
astA	BW25113_RS09140	1823988	1825022	arginine N-succinyltransferase
kdpD	BW25113_RS03595	717186	719870	sensor histidine kinase KdpD
udp	BW25113_RS19890	4009791	4010552	uridine phosphorylase
pyrR	BW25113_RS12425	2493862	2494596	DNA-binding transcriptional activator PyrR
ytiA	BW25113_RS22570	4553485	4553742	uncharacterized protein YtiA
mnmC	BW25113_RS12135	2435243	2437249	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase
BW25113_RS25375	BW25113_RS25375	4521867	4522085	hypothetical protein
ilvI	BW25113_RS00385	82117	83841	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit
yihQ	BW25113_RS20125	4060600	4062636	sulfoquinovosidase
cstA	BW25113_RS03110	625350	627455	pyruvate transporter CstA
yhhT	BW25113_RS17985	3605225	3606274	AI-2E family transporter
btuD	BW25113_RS08945	1787066	1787815	vitamin B<sub>12</sub> ABC transporter ATP binding subunit
flgK	BW25113_RS05635	1133834	1135477	flagellar hook-filament junction protein 1
fliI	BW25113_RS10150	2010035	2011408	flagellar export ATPase FliI
yqjG	BW25113_RS16110	3244383	3245369	glutathionyl-hydroquinone reductase YqjG
ecpD	BW25113_RS01490	300885	302528	fimbrial adhesin EcpD
crcB	BW25113_RS03245	653011	653394	F<sup>-</sup> channel
yohD	BW25113_RS11145	2219280	2219858	DedA family protein YohD
sbcB	BW25113_RS10510	2076237	2077664	exodeoxyribonuclease I
